ServiceID,StreetCarLine,StreetCarDestination
303098,501,Neville Park
303099,501,Long Branch
303001,502,Bingham Loop
303002,502,McCaul Loop
303045,503,Bingham Loop
303046,503,York and King
303278,504,Dundas West
303277,504,Distillery
303012,505,Dundas West
303013,505,Broadview
303017,506,Main Street
303018,506,High Park
303026,507,Long Branch
303025,507,Humber
303092,509,Union
303093,509,Exhibition
303035,510,Spadina
303036,510,Union
303143,511,Bathurst
303144,511,Exhibition
303189,512,St. Clair
303190,512,Gunn's Loop